adp,name,pos
1.1,Ronald Acuña Jr.,OF
1.2,Shohei Ohtani,UTIL
3.5,Mookie Betts,OF
4.2,Mike Trout,OF
5.1,Juan Soto,OF
6.3,Fernando Tatis Jr.,SS
7.2,Aaron Judge,OF
8.5,Corey Seager,SS
9.1,Freddie Freeman,1B
10.2,Rafael Devers,3B
11.5,Bryce Harper,OF
12.3,Manny Machado,3B
13.1,Vladimir Guerrero Jr.,1B
14.4,Francisco Lindor,SS
15.2,Xander Bogaerts,SS
16.5,Austin Riley,3B
17.3,Kyle Tucker,OF
18.1,Jorge Soler,OF
19.4,José Ramírez,3B
20.2,Ozzie Albies,2B
21.5,Max Scherzer,SP
22.3,Gerrit Cole,SP
23.1,Jacob deGrom,SP
24.4,Shane Bieber,SP
25.2,Corbin Burnes,SP
