Name,Team,POS,R,HR,RBI,SB,AVG,OBP,SLG,OPS,PA
Ronald Acuña Jr.,ATL,OF,110,45,105,35,0.310,0.410,0.620,1.030,650
Mookie Betts,LAD,OF,95,30,90,20,0.290,0.380,0.550,0.930,620
Mike Trout,LAA,OF,90,35,85,15,0.280,0.390,0.560,0.950,580
Juan Soto,SD,OF,85,30,80,10,0.270,0.400,0.530,0.930,590
Fernando Tatis Jr.,SD,SS,95,40,90,25,0.285,0.360,0.570,0.930,600
Aaron Judge,NYY,OF,80,45,100,5,0.275,0.380,0.590,0.970,570
Corey Seager,TEX,SS,85,30,85,5,0.290,0.360,0.540,0.900,600
Freddie Freeman,LAD,1B,90,30,95,5,0.300,0.400,0.520,0.920,620
Rafael Devers,BOS,3B,85,35,90,5,0.280,0.350,0.540,0.890,610
Bryce Harper,PHI,OF,80,30,85,5,0.270,0.380,0.530,0.910,560
Manny Machado,SD,3B,85,30,90,10,0.280,0.350,0.520,0.870,600
Vladimir Guerrero Jr.,TOR,1B,90,40,100,5,0.285,0.370,0.560,0.930,610
Francisco Lindor,NYM,SS,85,25,80,15,0.270,0.340,0.480,0.820,620
Xander Bogaerts,SD,SS,80,25,75,10,0.280,0.360,0.490,0.850,600
Austin Riley,ATL,3B,90,35,95,5,0.275,0.340,0.530,0.870,610
Kyle Tucker,HOU,OF,85,30,85,20,0.270,0.350,0.510,0.860,600
Jorge Soler,MIA,OF,80,35,85,5,0.260,0.350,0.520,0.870,580
José Ramírez,CLE,3B,90,30,90,15,0.280,0.380,0.510,0.890,610
Ozzie Albies,ATL,2B,95,25,75,20,0.275,0.330,0.480,0.810,620
