Name,Team,POS,W,L,SV,HOLD,ERA,WHIP,K/9,BB/9,IP
Gerrit Cole,NYY,SP,18,6,0,0,2.60,1.05,11.5,2.2,200
Max Scherzer,TEX,SP,16,8,0,0,2.80,1.10,11.0,2.3,190
Jacob deGrom,TEX,SP,15,7,0,0,2.70,1.08,12.0,2.0,185
Shane Bieber,CLE,SP,14,9,0,0,3.00,1.15,10.5,2.1,180
Corbin Burnes,MIL,SP,15,8,0,0,2.90,1.12,11.0,2.2,185
Aaron Nola,PHI,SP,14,9,0,0,3.10,1.18,10.0,2.0,190
Kevin Gausman,TOR,SP,15,8,0,0,3.00,1.10,10.5,2.1,185
Carlos Rodón,NYY,SP,13,10,0,0,3.20,1.15,11.0,2.4,175
Sandy Alcántara,MIA,SP,14,9,0,0,3.10,1.12,9.5,2.0,200
Justin Verlander,HOU,SP,13,9,0,0,3.30,1.18,9.0,2.1,170
Edwin Díaz,NYM,RP,3,4,45,0,2.00,0.85,14.0,2.5,65
Josh Hader,SD,RP,2,3,40,0,2.10,0.90,13.5,2.3,60
Emmanuel Clase,CLE,RP,3,4,35,0,2.20,0.95,12.0,2.0,65
Craig Kimbrel,PHI,RP,2,3,30,0,2.40,1.00,12.5,2.2,60
Ryan Pressly,HOU,RP,3,4,35,0,2.30,0.98,11.5,2.1,65
