player_id,name,team,pos,AVG,HR,RBI,R,SB,OBP,SLG,OPS,W,L,SV,HOLD,ERA,WHIP,K_per_9,BB_per_9,game_date
1,Mike Trout,LAA,OF,0.275,15,50,60,10,0.350,0.450,0.800,0,0,0,0,0.00,0.00,0.0,0.0,2026-03-18
2,Aaron Judge,NYY,OF,0.285,20,60,70,5,0.360,0.550,0.910,0,0,0,0,0.00,0.00,0.0,0.0,2026-03-18
3,Shohei Ohtani,LAD,SP,0.000,0,0,0,0,0.000,0.000,0.000,8,2,0,0,2.50,1.10,10.5,2.5,2026-03-18
4,Mookie Betts,LAD,OF,0.300,12,45,65,15,0.380,0.420,0.800,0,0,0,0,0.00,0.00,0.0,0.0,2026-03-18
5,Fernando Tatis Jr.,SD,SS,0.290,18,55,62,20,0.340,0.480,0.820,0,0,0,0,0.00,0.00,0.0,0.0,2026-03-18
6,Juan Soto,NYM,OF,0.280,16,52,68,8,0.400,0.460,0.860,0,0,0,0,0.00,0.00,0.0,0.0,2026-03-18
7,Gerrit Cole,NYY,SP,0.000,0,0,0,0,0.000,0.000,0.000,7,3,0,0,2.80,1.05,11.0,2.2,2026-03-18
8,Ronald Acuna Jr.,ATL,OF,0.310,14,48,75,25,0.370,0.440,0.810,0,0,0,0,0.00,0.00,0.0,0.0,2026-03-18
9,Freddie Freeman,LAD,1B,0.295,13,51,63,3,0.360,0.430,0.790,0,0,0,0,0.00,0.00,0.0,0.0,2026-03-18
10,Bryce Harper,PHI,OF,0.285,17,54,61,6,0.350,0.500,0.850,0,0,0,0,0.00,0.00,0.0,0.0,2026-03-18
