player_id,name,team,pos,exit_velocity,launch_angle,xwOBA,xBA,xSLG,hard_hit_rate,barrel_rate,chase_rate,swing_contact_rate,velocity,spin_rate,vertical_movement,horizontal_movement,xERA,xWHIP,whiff_rate,hard_hit_allowed_rate,pitch_mix,game_date
1,Mike Trout,LAA,OF,90.5,15.0,0.340,0.280,0.460,0.35,0.10,0.25,0.80,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,,2026-03-18
2,Aaron Judge,NYY,OF,95.0,18.0,0.380,0.310,0.550,0.40,0.15,0.20,0.75,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,,2026-03-18
3,Shohei Ohtani,LAD,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,2500,12.0,8.0,2.80,1.10,0.30,0.25,4 seam:40%, slider:30%, changeup:20%, curve:10%,2026-03-18
4,Mookie Betts,LAD,OF,88.0,12.0,0.330,0.270,0.420,0.30,0.08,0.15,0.85,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,,2026-03-18
5,Fernando Tatis Jr.,SD,SS,92.0,16.0,0.350,0.290,0.480,0.38,0.12,0.22,0.82,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,,2026-03-18
6,Juan Soto,NYM,OF,91.0,14.0,0.360,0.300,0.470,0.36,0.11,0.18,0.83,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,,2026-03-18
7,Gerrit Cole,NYY,SP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,2450,11.5,7.5,2.60,1.05,0.32,0.23,4 seam:45%, slider:25%, changeup:15%, curve:15%,2026-03-18
8,Ronald Acuna Jr.,ATL,OF,90.0,13.0,0.335,0.285,0.450,0.34,0.09,0.21,0.84,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,,2026-03-18
9,Freddie Freeman,LAD,1B,89.0,12.5,0.320,0.275,0.430,0.31,0.07,0.19,0.86,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,,2026-03-18
10,Bryce Harper,PHI,OF,93.0,15.5,0.370,0.305,0.520,0.39,0.14,0.23,0.81,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,,2026-03-18
