rank,name,team,pos,player_type,vorp,vorp_upside,vorp_floor,score
1,Ronald Acuña Jr.,ATL,OF,hitter,90.04249999999999,92.39134961400869,87.69365038599129,295.31
2,Fernando Tatis Jr.,SD,SS,hitter,48.76249999999999,51.11134961400869,46.41365038599129,250.285
3,Edwin Díaz,NYM,RP,pitcher,39.114999999999995,40.5412129574506,37.68878704254939,59.15
4,Josh Hader,SD,RP,pitcher,32.465,33.891212957450605,31.038787042549398,52.5
5,Mookie Betts,LAD,OF,hitter,30.02249999999998,32.37134961400868,27.673650385991284,235.29
6,Emmanuel Clase,CLE,RP,pitcher,26.814999999999994,28.2412129574506,25.38878704254939,46.849999999999994
7,Ryan Pressly,HOU,RP,pitcher,26.185000000000006,27.61121295745061,24.7587870425494,46.220000000000006
8,Aaron Judge,NYY,OF,hitter,25.007499999999993,27.35634961400869,22.658650385991297,230.275
9,Craig Kimbrel,PHI,RP,pitcher,21.065,22.491212957450607,19.638787042549396,41.1
10,Mike Trout,LAA,OF,hitter,20.01249999999999,22.361349614008684,17.663650385991293,225.28
11,Kyle Tucker,HOU,OF,hitter,15.002499999999998,17.351349614008694,12.653650385991302,220.27
12,Vladimir Guerrero Jr.,TOR,1B,hitter,11.238749999999982,13.587599614008678,8.889900385991286,235.285
13,José Ramírez,CLE,3B,hitter,10.0,12.348849614008696,7.651150385991304,225.28
14,Austin Riley,ATL,3B,hitter,9.995000000000005,12.3438496140087,7.646150385991309,225.275
15,Gerrit Cole,NYY,SP,pitcher,5.815000000000001,7.241212957450606,4.388787042549397,25.85
16,Corey Seager,TEX,SS,hitter,3.767499999999984,6.11634961400868,1.4186503859912882,205.29
17,Francisco Lindor,NYM,SS,hitter,3.7475000000000023,6.096349614008698,1.3986503859913064,205.27
18,Jacob deGrom,TEX,SP,pitcher,3.1849999999999987,4.611212957450603,1.758787042549394,23.22
19,Max Scherzer,TEX,SP,pitcher,3.0650000000000013,4.491212957450606,1.6387870425493967,23.1
20,Corbin Burnes,MIL,SP,pitcher,1.9450000000000003,3.371212957450605,0.5187870425493957,21.98
21,Kevin Gausman,TOR,SP,pitcher,1.365000000000002,2.7912129574506066,0.0,21.400000000000002
22,Shane Bieber,CLE,SP,pitcher,0.3150000000000013,1.741212957450606,0.0,20.35
23,Juan Soto,SD,OF,hitter,0.0024999999999977263,2.3513496140086936,0.0,205.27
24,Manny Machado,SD,3B,hitter,0.0,2.348849614008696,0.0,215.28
25,Rafael Devers,BOS,3B,hitter,0.0,2.348849614008696,0.0,215.28
26,Ozzie Albies,ATL,2B,hitter,0.0,2.348849614008696,0.0,215.275
27,Jorge Soler,MIA,OF,hitter,-0.0075000000000216005,2.3413496140086743,0.0,205.26
28,Aaron Nola,PHI,SP,pitcher,-0.3150000000000013,1.1112129574506033,0.0,19.72
29,Carlos Rodón,NYY,SP,pitcher,-0.38500000000000156,1.041212957450603,0.0,19.65
30,Sandy Alcántara,MIA,SP,pitcher,-0.754999999999999,0.6712129574506056,0.0,19.28
31,Justin Verlander,HOU,SP,pitcher,-2.5150000000000006,-1.088787042549396,0.0,17.52
32,Freddie Freeman,LAD,1B,hitter,-3.7462500000000034,-1.3974003859913076,0.0,220.3
33,Bryce Harper,PHI,OF,hitter,-4.997500000000002,-2.6486503859913064,0.0,200.27
34,Xander Bogaerts,SD,SS,hitter,-11.242500000000007,-8.893650385991311,0.0,190.28
