rank,name,team,pos_rankings,player_type,vorp,vorp_upside,vorp_floor,score,adp,pos_adp,expected_pick,bias
15,Gerrit Cole,NYY,SP,pitcher,5.815000000000001,7.241212957450607,4.388787042549397,25.85,22.3,SP,10,12.3
13,José Ramírez,CLE,3B,hitter,10.0,12.348849614008696,7.651150385991304,225.28,19.4,3B,8,11.399999999999999
11,Kyle Tucker,HOU,OF,hitter,15.002499999999998,17.351349614008697,12.653650385991304,220.27,17.3,OF,6,11.3
20,Corbin Burnes,MIL,SP,pitcher,1.9450000000000005,3.371212957450605,0.5187870425493957,21.98,25.2,SP,15,10.2
18,Jacob deGrom,TEX,SP,pitcher,3.1849999999999987,4.611212957450603,1.758787042549394,23.22,23.1,SP,13,10.100000000000001
22,Shane Bieber,CLE,SP,pitcher,0.3150000000000013,1.741212957450606,0.0,20.35,24.4,SP,16,8.399999999999999
14,Austin Riley,ATL,3B,hitter,9.995000000000003,12.343849614008699,7.646150385991309,225.275,16.5,3B,9,7.5
19,Max Scherzer,TEX,SP,pitcher,3.0650000000000013,4.491212957450606,1.6387870425493969,23.1,21.5,SP,14,7.5
12,Vladimir Guerrero Jr.,TOR,1B,hitter,11.238749999999984,13.587599614008678,8.889900385991288,235.285,13.1,1B,7,6.1
2,Fernando Tatis Jr.,SD,SS,hitter,48.76249999999999,51.11134961400868,46.41365038599129,250.285,6.3,SS,2,4.3
8,Aaron Judge,NYY,OF,hitter,25.007499999999997,27.356349614008693,22.658650385991297,230.275,7.2,OF,4,3.2
17,Francisco Lindor,NYM,SS,hitter,3.7475000000000014,6.096349614008697,1.3986503859913064,205.27,14.4,SS,12,2.4000000000000004
26,Ozzie Albies,ATL,2B,hitter,0.0,2.348849614008696,0.0,215.275,20.2,2B,19,1.1999999999999993
